timestamp,stonewall_min_xfers,stonewall_max_xfers,stonewall_time_secs,stonewall_bytes_moved,access,bw(mib/s),iops,latency(s),block(kib),xfer(kib),open(s),wr/rd(s),close(s),total(s),iter,start,ordering,nodes,nproc,ppn,xfersize,aggsize_bytes,end,filename
1628573830.0,2857028.0,7581219.0,50.1,349342571520.0,write,3998.0,1455988.0,59.56,2.81,2.81,0.01163,83.31,0.00114,83.32,0,1628573916.0,sequential,8,16,2,2880.0,17592186044416.0,1628573945,ior-n8ppn2t2880.4.out
1628573916.0,7581219.0,7581219.0,28.7,349342571520.0,read,11610.0,4227219.0,28.69,2.81,2.81,0.001465,28.69,0.000281,28.7,0,1628573916.0,sequential,8,16,2,2880.0,17592186044416.0,1628573945,ior-n8ppn2t2880.4.out
1628384697.0,995.0,1664.0,45.1,893353197568.0,write,4370.0,136.56,86.74,32768.0,32768.0,0.011832,194.96,0.000451,194.98,0,1628384894.0,sequential,8,16,2,33554432.0,17592186044416.0,1628384959,ior-n8ppn2t33554432.0.out
1628384896.0,1278.0,1639.0,45.0,879931424768.0,read,14072.0,439.8,53.69,32768.0,32768.0,0.004673,59.63,0.000446,59.63,0,1628384894.0,sequential,8,16,2,33554432.0,17592186044416.0,1628384959,ior-n8ppn2t33554432.0.out
1628440155.0,429.0,727.0,45.3,390305153024.0,write,4680.0,146.27,79.53,32768.0,32768.0,0.015168,79.53,0.001117,79.54,0,1628440237.0,sequential,8,16,2,33554432.0,17592186044416.0,1628440270,ior-n8ppn2t33554432.1.out
1628440237.0,727.0,727.0,31.9,390305153024.0,read,11664.0,364.53,31.91,32768.0,32768.0,0.002955,31.91,0.000407,31.91,0,1628440237.0,sequential,8,16,2,33554432.0,17592186044416.0,1628440270,ior-n8ppn2t33554432.1.out
1628385146.0,1195.0,1430.0,45.6,767725404160.0,write,4454.0,139.2,154.35,32768.0,32768.0,0.012626,164.36,0.000704,164.38,0,1628385311.0,sequential,8,16,2,33554432.0,17592186044416.0,1628385362,ior-n8ppn2t33554432.2.out
1628385313.0,1384.0,1430.0,45.0,767725404160.0,read,15901.0,496.92,45.54,32768.0,32768.0,0.001467,46.04,0.000435,46.05,0,1628385311.0,sequential,8,16,2,33554432.0,17592186044416.0,1628385362,ior-n8ppn2t33554432.2.out
1628385363.0,1128.0,1588.0,45.2,852551008256.0,write,4392.0,137.27,101.01,32768.0,32768.0,0.011986,185.09,0.001113,185.1,0,1628385550.0,sequential,8,16,2,33554432.0,17592186044416.0,1628385605,ior-n8ppn2t33554432.3.out
1628385552.0,1348.0,1588.0,45.0,852551008256.0,read,16128.0,504.06,45.02,32768.0,32768.0,0.004845,50.41,0.000468,50.41,0,1628385550.0,sequential,8,16,2,33554432.0,17592186044416.0,1628385605,ior-n8ppn2t33554432.3.out
